EN 2108,MWF 0900-0950,MWF 1000-1050,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 2109,MW 0935-1125,M 1310-1700,TR 0935-1125,T 1320-1410,T 1445-1535,T 1710-1900,MW 0935-1125,W 1410-1500,W 1510-1600,W 1610-1700,W 1710-1900,TR 0935-1125,R 1310-1500,R 1510-1700,F 1100-1150,F 1310-1500,,,,,,,,,,,,,,,,,,,,,,,
EN 2110,MTWR 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MTWR 0800-0850,TR 0935-1050,TR 1100-1215,T 1320-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3044,TR 0935-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3046,W 1410-1530,R 1540-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3056,MWF 1100-1150,MWF 1200-1250,TR 1100-1215,TR 1320-1435,TR 1445-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3070,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,M 1300-1350,TR 0810-0925,TR 0935-1050,TR 1100-1215,TR 1320-1435,TR 1445-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3102,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,T 1000-1050,TR 1100-1215,TR 1320-1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3104,MWF 0900-0950,MWF 1000-1050,MWF 1200-1250,MWF 1310-1400,MWF 1410-1500,TR 1100-1215,TR 1510-1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3105,MWF 1000-1050,MTWR 1100-1150,MTWR 1200-1250,MWF 1310-1400,TR 0935-1050,MTWR 1100-1150,MTWR 1200-1250,TR 1310-1400,T 1510-1600,T 1610-1700,T 1710-1800,MWF 1000-1050,MTWR 1100-1150,MTWR 1200-1250,MWF 1310-1400,W 1510-1650,F 0800-0850,MWF 1000-1050,MWF 1310-1400,F 1410-1500,,,,,,,,,,,,,,,,,,,
EN 3106,MWF 0900-0950,MTWR 1000-1050,M 1310-1400,MTWR 1000-1050,TR 1100-1215,TR 1320-1435,MTWR 1000-1050,TR 1100-1215,TR 1320-1435,R 1610-1900,MWF 0900-0950,F 1000-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 3109,M 0900-1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
